From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
2017-11-25,135.055,290.53416666666664,71.74782608695652,29.91625,78.5525,,12.682083333333333,2.165833333333333,30.976250000000004,0.0,2.0854166666666667,,1.12,,24.62125,34.324999999999996,0.25125000000000003,118.28750000000001,101.11541666666666,751.9479166666666,0.7804166666666666
2017-11-26,166.20000000000002,329.31125000000003,123.78458333333333,18.22791666666667,97.83041666666666,,11.632916666666667,1.72375,31.828333333333333,0.0,2.0570833333333334,,0.61,,25.33875,35.51916666666667,0.29333333333333333,121.58375,96.97458333333333,751.23,0.8133333333333334
2017-11-27,131.36304347826086,277.1395652173913,91.36173913043477,22.956521739130434,76.76260869565218,,14.466086956521737,1.7482608695652175,36.81391304347826,0.0,1.7143478260869565,,1.53,,25.383913043478262,34.62391304347826,0.2682608695652174,146.6891304347826,88.33565217391305,752.4686956521739,0.8008695652173914
2017-11-28,122.90347826086958,329.7878260869565,146.30181818181816,16.64695652173913,123.9491304347826,,13.745652173913042,2.2508695652173913,33.56173913043478,0.0,3.6817391304347824,,1.264,,24.37913043478261,39.02652173913044,0.23521739130434782,157.21173913043478,86.06782608695652,753.5660869565218,0.78
2017-11-29,175.77,355.3066666666667,122.70363636363636,21.054583333333333,120.23208333333334,,13.808750000000002,2.103333333333333,28.198333333333334,0.1366666666666667,3.936666666666667,,1.8133333333333335,,24.89833333333333,38.872083333333336,0.21291666666666667,128.85541666666668,91.10083333333334,752.6479166666667,0.7729166666666667
2017-11-30,115.16583333333334,263.75124999999997,44.919999999999995,28.36583333333333,42.7225,,13.644166666666665,1.08125,25.67958333333333,0.0,0.2783333333333333,,,,26.17625,33.767916666666665,0.4379166666666667,142.6975,87.92666666666666,752.8729166666667,0.8233333333333333
2017-12-01,123.07958333333333,287.60083333333336,34.41833333333333,29.849999999999998,36.00791666666667,,15.164583333333333,1.26375,20.41875,0.0,0.6829166666666667,,0.68,,25.919166666666666,36.475833333333334,0.53875,108.23375,86.05458333333333,753.5566666666667,0.8370833333333333
2017-12-02,119.81625000000001,281.16375,22.467916666666667,35.52041666666667,29.590833333333336,,19.62666666666667,0.99125,21.542916666666667,0.0,0.0,,,,25.36791666666667,36.879583333333336,0.43875,88.28208333333333,83.12958333333333,752.6479166666667,0.83
2017-12-03,118.95916666666666,284.4025,15.512500000000001,38.74583333333333,25.838333333333335,,19.648333333333333,1.0191666666666668,22.77333333333333,0.0,0.0,,,,24.8875,38.04625,0.35708333333333336,62.791666666666664,69.75125,752.2145833333334,0.8008333333333333
2017-12-04,114.57791666666667,279.39166666666665,18.094583333333333,37.0425,26.85375,,11.3675,1.00125,26.419583333333335,0.0,0.19708333333333336,,,,25.235833333333332,37.067083333333336,0.47875,96.0675,72.21541666666667,753.47125,0.8270833333333334
2017-12-05,115.02833333333332,270.1045833333333,15.166666666666666,35.066250000000004,23.415000000000003,,11.362916666666665,1.0429166666666667,31.77,0.0,0.0,,,,24.35291666666667,40.60666666666666,0.7654166666666667,59.28041666666667,48.24333333333333,753.3866666666667,0.7908333333333334
