From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),Xylene (ug/m3),RF (mm)
2022-10-22,45.21347826086957,90.46173913043478,5.874444444444445,58.373636363636365,57.005833333333335,,55.74692307692308,0.25708333333333333,8.152173913043478,,4.608333333333333,,,,8.597391304347827,79.50260869565217,0.17956521739130435,167.97782608695653,143.11086956521737,,0.0
2022-10-23,64.381875,121.028125,2.804,38.483999999999995,25.80375,,55.03,0.321875,8.0,,4.44375,,,,5.7675,88.5488888888889,0.14500000000000002,214.0625,34.853125,,0.0
2022-10-24,75.71833333333333,137.41722222222222,,,0.0,,54.15555555555555,0.33,8.0,,5.227777777777778,,,,10.058333333333334,62.11333333333334,0.21333333333333332,189.8938888888889,189.94333333333333,,0.0
2022-10-25,92.34,180.64142857142858,2.9857142857142853,37.05428571428571,25.398000000000003,,63.660000000000004,0.196,8.912857142857144,,2.787,,,,9.627142857142857,82.9542857142857,0.09999999999999999,209.68285714285713,4.63,,0.0
2022-10-26,95.23625,179.5875,5.54375,37.67458333333333,43.213750000000005,,56.99666666666667,0.3016666666666667,8.025,,5.163333333333333,,,,10.096666666666666,76.88047619047619,0.19875,198.80916666666667,129.01416666666668,,0.0
2022-10-27,96.67416666666666,181.08624999999998,4.312857142857142,40.69875,43.979166666666664,,56.312083333333334,0.29791666666666666,8.147083333333333,,4.740416666666667,,,,9.970833333333333,73.40333333333334,0.17,186.4908333333333,131.05458333333334,,0.0
2022-10-28,87.1691304347826,166.86173913043478,4.9468421052631575,29.912727272727274,32.90409090909091,,54.089999999999996,0.31958333333333333,8.357391304347827,,4.270833333333333,,,,9.610869565217392,74.6413043478261,0.17869565217391306,171.50434782608696,126.40434782608695,,0.0
2022-10-29,92.36347826086957,175.23434782608695,5.206842105263158,37.254782608695656,41.34521739130435,,46.106521739130436,0.3022727272727273,8.132608695652175,,4.68,,,,9.666521739130435,72.37739130434782,0.16304347826086957,196.16652173913045,127.9686956521739,,0.0
2022-10-30,,,,,,,,,,,,,,,,,,,,,
2022-10-31,128.67692307692306,234.25,3.5840000000000005,40.849999999999994,38.22785714285715,,31.82461538461538,0.2592857142857143,8.047692307692309,,4.3549999999999995,,,,12.211538461538462,61.33461538461539,0.28076923076923077,231.8176923076923,77.0823076923077,,0.0
2022-11-01,71.32583333333334,128.03541666666666,1.31625,42.8125,44.12833333333333,,33.776666666666664,0.28833333333333333,8.0,,5.145416666666667,,,,9.959583333333333,78.7,0.28791666666666665,186.38833333333332,84.39125,,0.00125
2022-11-02,47.03875,100.95,5.26375,42.14291666666667,47.406666666666666,,35.270833333333336,0.28875,8.0,,5.114583333333333,,,,8.77375,75.85666666666667,0.18041666666666667,176.09375,120.76375,,0.0
2022-11-03,82.7117391304348,165.1795652173913,7.044782608695653,48.51260869565217,55.37173913043478,,32.36739130434783,0.28695652173913044,8.035217391304348,,4.784782608695652,,,,9.550434782608695,78.3104761904762,0.1956521739130435,179.5108695652174,107.19478260869565,,0.0
2022-11-04,102.35260869565218,196.6639130434783,9.196000000000002,52.2904347826087,59.24260869565218,,18.200869565217392,0.2839130434782609,8.082608695652175,,4.214347826086957,,,,10.124347826086957,71.424375,0.19869565217391305,173.7713043478261,107.03272727272729,,0.0
2022-11-05,92.80125,180.91434782608695,5.517916666666667,50.96666666666667,56.48708333333334,171.28461538461536,4.421875,0.2816666666666667,8.002916666666666,,4.939166666666667,,,,9.017916666666666,84.46727272727273,0.23666666666666666,165.89958333333334,56.760416666666664,,0.0
2022-11-06,18.59333333333333,47.93,0.47928571428571426,26.839333333333332,26.909333333333333,64.632,133.04500000000002,0.3313333333333333,8.295333333333334,,4.620666666666667,,,,8.844,84.53733333333334,0.5473333333333333,221.806,78.34400000000001,,0.0026666666666666666
2022-11-07,17.56826086956522,50.5895652173913,1.2268181818181818,15.211363636363636,15.53608695652174,39.995,32.169999999999995,0.3061904761904762,8.19608695652174,,4.010434782608695,,,,4.457826086956522,95.07545454545453,0.561304347826087,237.6108695652174,44.38086956521739,,0.006521739130434782
2022-11-08,27.975454545454546,65.74090909090908,1.291578947368421,36.400952380952376,32.80045454545455,80.00095238095238,9.23,0.33272727272727276,8.322727272727272,,4.427272727272728,,,,6.492272727272726,84.13777777777779,0.36809523809523814,193.2859090909091,85.25227272727273,,0.0
2022-11-09,32.385416666666664,70.28916666666667,1.599047619047619,31.585416666666664,32.467083333333335,79.84166666666667,3.2785714285714285,0.3433333333333333,8.263333333333334,,6.175833333333333,,,,5.43375,94.27761904761904,0.39956521739130435,208.85,41.48875,,0.0
