From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3)
2019-11-09,140.1425,189.84041666666667,37.01833333333333,17.314583333333335,39.30583333333333,20.816666666666666,9.959166666666667,0.31416666666666665,50.48916666666667,0.80125
2019-11-10,206.44458333333333,262.2291666666667,36.907916666666665,18.542916666666667,39.865833333333335,21.0075,14.567083333333334,0.4770833333333333,47.71045454545455,0.97125
2019-11-11,269.49291666666664,341.2395833333333,47.79541666666666,21.709999999999997,50.40083333333333,25.17,14.416666666666666,0.6733333333333333,44.86571428571428,1.5279166666666668
2019-11-12,388.6979166666667,462.8125,67.35333333333334,24.755416666666665,67.92666666666666,32.2325,11.2975,1.0191666666666668,31.146000000000004,2.106666666666667
2019-11-13,395.2325,467.2708333333333,63.888749999999995,30.264166666666668,68.03666666666668,32.361666666666665,11.653333333333334,1.4266666666666667,27.012727272727272,2.654166666666667
2019-11-14,395.09708333333333,459.80541666666664,73.88166666666667,35.237500000000004,78.80375,36.925000000000004,12.289166666666667,2.1941666666666664,11.696666666666665,4.294583333333333
2019-11-15,360.29,423.96391304347827,44.00125,22.440416666666668,47.70916666666667,24.4175,10.2925,1.29875,37.78,2.575833333333333
2019-11-16,161.91666666666666,224.90625,31.478333333333335,32.412083333333335,42.82416666666666,13.806666666666667,9.718260869565217,0.5754166666666667,32.40625,1.34
2019-11-17,97.35416666666667,130.71833333333333,45.859166666666674,52.73416666666666,65.30541666666666,12.598333333333334,5.345,0.5204166666666666,27.92625,0.4166666666666667
2019-11-18,104.64625000000001,139.84708333333333,46.32125,51.07583333333333,64.82916666666667,11.032083333333333,4.58,0.8825,33.62238095238095,0.9104166666666668
2019-11-19,125.21916666666668,173.52125,56.18208333333334,62.090833333333336,78.70166666666667,13.36875,6.1066666666666665,1.1875,32.70052631578947,1.7304166666666667
2019-11-20,172.375,231.23625,102.44625,88.98666666666666,130.62291666666667,19.9325,8.140833333333333,2.6979166666666665,31.946190476190477,3.2575000000000003
2019-11-21,238.6075,302.73625,121.84125,105.80166666666668,155.3345833333333,25.27625,13.018749999999999,3.2433333333333336,18.11409090909091,5.158333333333333
2019-11-22,190.045,244.48625,74.3625,79.07291666666667,102.51833333333333,16.482916666666664,11.027916666666668,1.9616666666666667,40.21842105263158,2.890833333333333
2019-11-23,123.31958333333334,152.91666666666666,44.80375,58.45458333333334,67.53666666666668,12.729166666666666,6.800000000000001,0.8537499999999999,18.2575,1.12125
2019-11-24,103.58333333333333,130.44791666666666,40.50416666666667,53.23416666666666,61.26125,11.216666666666667,6.801666666666667,0.6575,26.402173913043477,0.69125
2019-11-25,125.22916666666667,158.70125,69.63583333333334,73.66958333333334,95.80041666666666,15.349583333333333,8.5975,1.5574999999999999,23.24909090909091,1.5999999999999999
2019-11-26,106.98863636363636,150.7881818181818,64.47291666666666,70.45166666666667,89.89083333333333,16.07125,10.218333333333334,1.2170833333333333,16.338,1.5316666666666665
2019-11-27,72.99666666666667,109.99666666666667,52.24541666666667,56.93,72.75750000000001,13.012083333333335,1.832,0.8300000000000001,17.865,0.6675
2019-11-28,32.49333333333333,47.70791666666667,42.259166666666665,46.862500000000004,59.249583333333334,10.896666666666667,1.521304347826087,0.48125,20.622083333333332,0.4566666666666667
2019-11-29,57.177083333333336,82.79166666666667,48.10541666666666,53.12875,67.37083333333334,12.546666666666667,1.8391304347826085,0.6858333333333334,19.6775,0.6554166666666666
2019-11-30,106.955,140.41333333333333,47.0525,53.78958333333333,66.86625,11.589166666666666,1.4983333333333333,0.9295833333333333,21.559583333333336,1.00375
2019-12-01,121.55208333333333,156.22916666666666,52.214166666666664,58.68333333333334,73.73833333333333,12.78125,1.6877777777777778,0.9754166666666667,31.208333333333332,0.9566666666666667
2019-12-02,136.82291666666666,180.51041666666666,58.22333333333333,63.069583333333334,80.88333333333334,14.065833333333332,1.8717391304347826,1.2283333333333333,29.459166666666665,1.1570833333333332
2019-12-03,140.16304347826087,189.83304347826086,62.68125,66.40916666666666,86.28458333333333,14.794166666666667,4.118333333333333,1.46375,26.03125,1.5479166666666666
2019-12-04,169.28458333333333,231.125,79.34583333333333,78.91250000000001,106.48416666666667,18.159166666666668,6.5675,2.0320833333333335,24.09875,2.0320833333333335
2019-12-05,275.8925,344.1041666666667,120.72291666666666,106.09541666666667,154.58333333333334,24.702083333333334,7.288333333333334,3.6645833333333333,22.41916666666667,4.287083333333333
2019-12-06,231.84708333333333,285.27791666666667,72.04,71.94,96.835,17.17875,7.46625,1.9754166666666666,19.855833333333333,2.0
2019-12-07,210.5625,265.01375,119.56208333333332,91.09458333333333,145.65916666666666,22.95,8.03875,3.342916666666667,17.674583333333334,2.9333333333333336
2019-12-08,203.00708333333333,251.47208333333333,107.16875,88.58999999999999,134.24916666666667,23.587500000000002,6.757083333333333,3.285833333333333,18.575416666666666,3.89
2019-12-09,167.66666666666666,225.30541666666667,100.0625,87.44708333333334,127.86458333333333,20.84208333333333,6.2575,2.715,21.33666666666667,2.700416666666667
2019-12-10,207.48916666666665,279.3645833333333,118.62124999999999,96.55250000000001,147.79666666666665,24.364166666666666,6.522916666666667,3.639583333333333,25.759583333333335,3.9104166666666664
2019-12-11,264.61,338.5681818181818,153.17916666666667,114.30708333333332,185.33916666666667,30.727083333333336,8.541666666666666,4.5129166666666665,13.294166666666667,4.8525
2019-12-12,258.8020833333333,304.7291666666667,68.43958333333333,74.35041666666667,95.18958333333335,18.502916666666668,7.988181818181818,2.1108333333333333,17.54125,2.205833333333333
2019-12-13,85.47916666666667,96.88541666666667,42.57375,48.74208333333333,60.54083333333333,11.711666666666666,2.2077272727272725,0.80375,15.112916666666665,0.5208333333333334
2019-12-14,83.30916666666667,101.705,50.37,51.89791666666667,68.72208333333333,12.015,3.5629166666666667,0.9525,13.482083333333334,0.8883333333333333
2019-12-15,92.40625,110.00708333333334,40.38166666666667,44.385,56.43833333333333,10.62125,3.0841666666666665,0.52375,16.804166666666667,0.6554166666666666
2019-12-16,79.34708333333333,97.34041666666667,30.4475,34.78625,43.2575,8.784166666666666,1.6108333333333331,0.2970833333333333,15.307083333333333,0.44875
2019-12-17,92.23625,114.28833333333334,37.74583333333333,36.30125,49.9575,10.055833333333334,1.8639130434782607,0.54,15.179166666666667,0.5454166666666667
