From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),Xylene (ug/m3),RF (mm)
2012-02-06,,,2.1545454545454543,47.24041666666667,49.77333333333333,54.42916666666667,0.5170833333333333,86.64541666666666,0.0,0.0,,,,23.690833333333334,7.8500000000000005,13.113333333333335,58.24875,950.92125,0.5,22.286666666666665,0.0,
2012-02-07,,,2.3547826086956523,45.08208333333334,47.9,46.20045454545454,0.42875,85.83583333333333,0.0,0.0,,,,21.66625,7.58625,12.751249999999999,58.150000000000006,950.2316666666667,0.5,20.09125,0.0,
2012-02-08,,,1.1972727272727273,37.17791666666667,38.78875,55.16,0.45416666666666666,90.71125,0.0,0.0,,,,11.801250000000001,7.294583333333333,14.702083333333334,67.56875000000001,961.5133333333333,0.5,16.61875,0.0,
2012-02-09,,,13.342916666666667,71.02624999999999,84.86083333333333,60.392500000000005,1.0408333333333333,64.43625,0.0,0.0,,,,13.6275,7.370833333333334,13.906666666666666,65.685,962.84375,0.5,17.540833333333335,0.0,
2012-02-10,,,19.140869565217393,74.80875,93.64541666666666,67.75416666666666,1.12375,79.65708333333333,0.0,0.0,,,,17.045416666666664,7.638750000000001,14.377916666666666,64.61041666666667,955.9129166666667,0.5,19.749583333333334,0.0,
2012-02-11,,,31.81833333333333,94.12708333333335,126.44791666666667,61.412083333333335,1.5491666666666666,63.879999999999995,0.0,0.0,,,,17.772083333333335,7.805,14.135,65.75875,945.1291666666666,0.5,22.017083333333332,0.0,
2012-02-12,,,30.566666666666666,155.80875,186.84375,66.28904761904762,0.9666666666666667,45.10782608695652,0.0,0.0,,,,23.453333333333333,7.84875,13.037083333333333,58.59916666666667,936.1820833333333,0.5,23.002916666666668,0.0,
2012-02-13,,,1.5741666666666667,106.88833333333334,108.94625,40.08583333333333,0.5479166666666667,48.80708333333333,0.0,0.0,,,,32.285000000000004,8.118333333333334,13.13875,57.145,942.2570833333334,0.5,23.538749999999997,0.0,
2012-02-14,,,3.2929166666666667,106.98791666666666,110.78458333333333,42.80458333333333,0.7512500000000001,52.4575,0.0,0.0,,,,22.8275,8.03375,13.761666666666665,59.70875,948.6604166666666,0.5,23.864166666666666,0.0,
2012-02-15,,,2.669166666666667,106.96333333333332,110.11541666666666,53.36086956521739,0.7600000000000001,61.98374999999999,0.0,0.0,,,,17.328333333333333,7.805,13.411666666666667,61.275416666666665,943.6708333333332,0.5,23.044583333333332,0.0,
