From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),AT (degree C),RF (mm)
2020-03-11,25.072916666666668,56.375,14.157499999999999,8.633750000000001,15.142083333333334,8.473333333333334,0.5654166666666667,86.50166666666667,0.27375,5.4695833333333335,0.04666666666666667,31.654583333333335,56.604166666666664,4.19125,235.90625,121.76041666666667,26.27,0.0
2020-03-12,34.166666666666664,71.98958333333333,16.83791666666667,10.310833333333333,11.307916666666666,7.8758333333333335,0.605,88.31416666666667,0.23333333333333336,4.541666666666667,0.0425,31.514166666666668,47.677083333333336,3.57625,229.5625,132.11458333333334,26.102083333333336,0.0
2020-03-13,32.854166666666664,116.53125,19.226666666666667,11.538333333333334,9.63625,11.375833333333333,0.635,92.03583333333334,0.2675,4.752916666666667,0.1375,30.18625,33.010416666666664,2.0395833333333333,239.07291666666666,113.67708333333333,25.75708333333333,0.0
2020-03-14,40.260416666666664,138.28125,18.407500000000002,10.7125,11.277500000000002,8.815,0.5950000000000001,92.62625000000001,0.21375,2.6462499999999998,0.15555555555555556,29.808333333333334,34.291666666666664,2.1108333333333333,127.19791666666667,133.10416666666666,26.324166666666667,0.0
2020-03-15,34.166666666666664,128.0,21.594166666666666,12.371250000000002,10.952083333333334,7.932083333333334,0.6054166666666666,97.52999999999999,0.21375,2.112083333333333,0.12869565217391304,31.36708333333333,29.9375,2.5683333333333334,71.375,130.55208333333334,26.769166666666667,0.0
2020-03-16,34.65625,111.65625,21.443749999999998,12.36125,13.96625,6.498333333333334,0.6583333333333333,98.10541666666667,0.22541666666666668,2.21375,0.1661904761904762,31.37875,34.885416666666664,2.5225,80.63541666666667,129.375,27.454166666666666,0.0
2020-03-17,39.0,119.625,16.319166666666668,10.340416666666666,17.385833333333334,9.3875,0.6733333333333333,100.38291666666667,0.22166666666666668,2.125,0.1740909090909091,31.10875,35.875,2.7329166666666667,77.25,127.8125,28.506666666666664,0.0
2020-03-18,42.364583333333336,109.40625,17.175833333333333,10.2675,18.258333333333333,11.490833333333335,0.6825,104.43916666666667,0.24,2.8987499999999997,0.13041666666666665,31.344166666666666,33.260416666666664,2.0375,114.3125,119.53125,29.81625,0.0
2020-03-19,53.125,134.21875,26.019583333333333,16.658333333333335,22.252916666666668,10.857916666666666,1.1641666666666666,81.87166666666667,0.3345833333333333,3.6345833333333335,0.3918181818181818,30.942083333333333,33.21875,1.7074999999999998,140.66666666666666,126.55208333333333,29.665833333333335,0.0
2020-03-20,43.114583333333336,135.55208333333334,17.07125,10.375833333333334,28.727083333333336,11.5675,0.8633333333333333,78.03666666666666,0.3641666666666667,4.526666666666666,0.25952380952380955,31.912916666666664,35.427083333333336,3.6474999999999995,216.91666666666666,103.02083333333333,28.355416666666667,0.0
2020-03-21,35.791666666666664,100.39583333333333,15.378333333333332,9.600416666666666,18.734166666666667,10.190416666666666,0.725,79.59166666666667,0.2804166666666667,5.00875,0.18875,30.851249999999997,37.239583333333336,2.0116666666666667,227.44791666666666,134.52083333333334,28.355416666666667,0.0
2020-03-22,54.4375,123.67708333333333,19.289166666666667,11.97125,26.099166666666665,9.732083333333334,1.0841666666666667,66.03041666666667,0.32875,3.796666666666667,0.19611111111111112,29.429583333333337,37.010416666666664,1.29125,180.4375,134.20833333333334,29.464583333333334,0.0
2020-03-23,51.947916666666664,124.78125,15.709583333333333,9.26,27.80125,8.35625,0.9620833333333333,70.47125,0.3279166666666667,3.2104166666666667,0.22764705882352942,29.465833333333332,33.697916666666664,1.4075,149.47916666666666,129.21875,30.284583333333334,0.0
2020-03-24,34.947916666666664,102.64583333333333,12.722499999999998,7.338333333333334,27.78125,8.55125,0.8245833333333333,70.11,0.26208333333333333,3.4425000000000003,0.10052631578947369,29.558333333333334,35.135416666666664,1.5783333333333334,158.0,122.09375,30.795833333333334,0.015833333333333335
2020-03-25,29.072916666666668,65.53125,10.58375,6.622083333333333,28.3475,6.565,0.47374999999999995,73.33458333333333,0.11041666666666668,1.5975,0.058750000000000004,29.545833333333334,48.125,2.7245833333333334,87.11458333333333,90.30208333333333,29.355,0.0375
