From Date,PM2.5 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),Xylene (ug/m3)
2022-06-13,19.072916666666668,0.7604166666666666,21.186666666666667,11.600416666666668,3.2558333333333334,0.3254166666666667,13.114583333333334,0.0,0.10791666666666666,,52.260416666666664,1.8241666666666667,164.08333333333334,193.38541666666666,707.2083333333334,-1.6154166666666667,30.842916666666667,0.0025
2022-06-14,23.802083333333332,0.73875,19.712500000000002,10.835,2.597916666666667,0.39208333333333334,13.764583333333334,0.0,0.18666666666666668,,62.1875,1.4091666666666667,145.90625,150.14583333333334,706.1770833333334,-1.8741666666666665,29.01291666666667,0.030416666666666665
2022-06-15,24.458333333333332,0.7852173913043478,17.92625,9.840833333333334,3.0558333333333336,0.41124999999999995,13.881666666666666,0.0,0.16,,61.4375,1.7116666666666667,206.57291666666666,137.875,705.21875,-3.5,28.705416666666665,0.007083333333333334
2022-06-16,30.25,0.9717391304347827,20.81,11.525,3.3937500000000003,0.3958333333333333,12.180833333333332,0.0,0.2275,,62.4375,1.3099999999999998,152.75,121.30208333333333,705.2395833333334,-2.5925,28.56458333333333,0.05625
2022-06-17,31.114583333333332,0.8341666666666666,20.43625,11.309166666666668,3.6437500000000003,0.4995833333333333,13.557083333333333,0.0,0.31875000000000003,,61.375,1.0475,170.67708333333334,129.73958333333334,704.4720833333334,-1.3858333333333333,29.435833333333335,0.1425
2022-06-18,29.24291666666667,0.7666666666666666,19.6325,10.88875,2.7616666666666667,0.515,12.541666666666666,0.0,0.29083333333333333,,58.760416666666664,1.1616666666666666,221.54166666666666,185.45833333333334,705.3333333333334,-2.6629166666666664,30.53,0.11166666666666668
2022-06-19,27.397727272727273,0.7495454545454546,18.64818181818182,10.324545454545454,2.4227272727272724,0.4486363636363636,13.872272727272728,0.0,0.26545454545454544,,64.99227272727272,1.1090909090909091,194.50363636363636,92.22727272727273,704.9509090909091,-2.055454545454545,28.422727272727272,0.07681818181818181
2022-06-20,15.23076923076923,1.675,21.62,9.604285714285714,2.441538461538461,0.004285714285714286,7.603,0.0,0.11307692307692307,,55.089285714285715,1.9864285714285717,211.67857142857142,188.25,702.0088888888889,-2.3921428571428573,30.744285714285716,0.0015384615384615385
2022-06-21,17.222083333333334,1.115,17.951249999999998,10.3425,2.9291666666666667,0.0,9.442083333333334,0.0,0.12041666666666667,,67.88875,1.61125,215.25708333333333,149.8575,701.2833333333333,-1.7854166666666667,27.708333333333332,0.0
2022-06-22,17.275,0.9095000000000001,18.192,10.265,2.082,0.0,12.6485,0.0,0.10900000000000001,,62.75,1.4055,236.125,142.0375,702.6029411764706,-1.2955,28.392500000000002,0.0
