From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-06-14,23.427083333333332,55.9675,2.9516666666666667,8.137916666666667,10.584999999999999,9.992916666666668,34.531666666666666,0.30291666666666667,10.342916666666666,0.4245833333333333,,0.3641666666666667,0.4091666666666667,,84.24458333333332,0.6804166666666666,173.72,0.0,,,24.105416666666667,0.05666666666666667
2022-06-15,17.718333333333334,39.0675,3.1183333333333336,9.455833333333333,11.893333333333333,10.291666666666666,33.782916666666665,0.36166666666666664,7.484285714285714,0.50625,,0.43291666666666667,0.4870833333333333,,89.95208333333333,0.6141666666666666,171.52458333333334,0.0,,,23.30875,0.1758333333333333
2022-06-16,17.444166666666664,43.421666666666674,3.4516666666666667,8.800833333333333,11.735,11.275,33.11541666666667,0.33708333333333335,7.047777777777778,0.4704166666666667,,0.40208333333333335,0.45375000000000004,,89.10583333333334,0.5883333333333333,164.86291666666668,0.0,,,23.99208333333333,0.08750000000000001
2022-06-17,9.374583333333334,20.732916666666668,3.3833333333333333,9.365833333333333,12.111666666666666,9.428749999999999,33.29291666666666,0.22708333333333333,9.795652173913044,0.3179166666666667,,0.27125,0.30624999999999997,,92.21458333333334,1.0920833333333333,167.03916666666666,0.0,,,22.23625,0.27625
2022-06-18,5.65125,9.895,3.4595833333333332,8.149583333333334,11.15875,8.232916666666666,32.74166666666667,0.19041666666666668,4.733,0.2654166666666667,,0.22916666666666666,0.25666666666666665,,99.14583333333333,0.7695833333333333,152.56875,0.0,,,20.99625,0.6425
2022-06-19,6.058260869565218,13.65090909090909,3.4716666666666662,6.838333333333334,10.089583333333334,8.891666666666667,33.27625,0.19333333333333333,11.020714285714286,0.26958333333333334,,0.2316666666666667,0.26125,,94.085,0.77875,173.49749999999997,0.0,,,22.724166666666665,0.29291666666666666
2022-06-20,5.689,21.76590909090909,3.4258333333333333,6.971666666666667,10.156666666666666,10.000833333333334,34.05375,0.18833333333333335,5.48125,0.26625,,0.22666666666666666,0.2541666666666667,,89.64541666666666,0.89,156.67791666666668,0.0,,,23.831666666666667,0.24583333333333335
2022-06-21,7.492083333333333,52.90894736842105,3.42625,6.590416666666667,9.8475,11.8275,34.962916666666665,0.1775,8.690909090909091,0.24833333333333332,,0.21291666666666667,0.23875000000000002,,79.14291666666666,0.9458333333333333,185.00375,0.0,,,26.484583333333333,0.0
2022-06-22,6.758695652173913,42.68833333333333,3.4804166666666667,6.78375,10.11375,12.578333333333333,36.864583333333336,0.19708333333333336,5.464444444444444,0.27666666666666667,,0.23708333333333334,0.26666666666666666,,83.44208333333334,0.99125,190.76666666666665,0.0,,,26.12875,0.29916666666666664
2022-06-23,7.033571428571428,26.589166666666667,3.329166666666667,6.302499999999999,9.53625,10.771666666666667,36.677083333333336,0.15666666666666668,7.106521739130434,0.21875,,0.18708333333333335,0.21333333333333335,,84.07875,1.0008333333333332,193.9595833333333,0.0,,,25.235416666666666,0.5691666666666667
2022-06-24,7.422499999999999,23.11,3.33,5.0875,8.502500000000001,9.7025,35.3525,0.14500000000000002,1.9849999999999999,0.2,,0.17250000000000001,0.1925,,90.065,0.4975,149.4625,0.0,,,23.1675,0.005
2022-06-25,,,,,,,,,,,,,,,,,,,,,,
2022-06-26,,,,,,,,,,,,,,,,,,,,,,
2022-06-27,,,,,,,,,,,,,,,,,,,,,,
2022-06-28,,,,,,,,,,,,,,,,,,,,,,
2022-06-29,1.8166666666666667,10.406363636363636,3.501818181818182,4.714545454545455,7.699166666666667,14.188181818181818,32.79272727272728,0.11333333333333334,4.59,0.15583333333333335,,0.14545454545454548,0.16727272727272727,,75.24818181818182,1.74,231.15454545454543,55.79083333333333,,,26.767272727272726,0.0
2022-06-30,3.9165217391304346,19.212500000000002,3.3800000000000003,4.885416666666667,8.400833333333333,7.1191666666666675,33.47,0.13083333333333333,1.5338461538461536,0.18458333333333332,,0.15958333333333333,0.18083333333333332,,76.46333333333334,1.2279166666666665,214.26041666666666,164.59083333333334,,,26.662499999999998,0.0
2022-07-01,5.218571428571429,26.659565217391304,3.3154166666666662,5.3825,8.68,5.399583333333333,33.96208333333333,0.14458333333333334,3.5436842105263158,0.20333333333333334,,0.17541666666666667,0.19708333333333336,,74.94041666666666,0.9812500000000001,204.47333333333333,171.4645833333333,,,27.67375,0.11291666666666667
2022-07-02,3.79125,16.867083333333333,3.420833333333333,6.079999999999999,9.439166666666667,4.734166666666667,33.69833333333333,0.16958333333333334,2.5083333333333333,0.235,,0.20375,0.22958333333333333,,87.89208333333333,0.8916666666666666,183.97,126.675,,,25.84,0.22291666666666665
2022-07-03,4.2475000000000005,25.867500000000003,3.393333333333333,5.59625,8.957083333333333,4.680833333333333,34.95333333333333,0.16916666666666666,7.3053333333333335,0.23791666666666667,,0.205,0.23083333333333333,,80.50291666666666,1.0583333333333333,194.14208333333332,219.63416666666663,,,27.165833333333335,0.0
2022-07-04,5.690434782608696,29.151666666666667,3.387916666666667,6.911666666666666,10.0825,5.058333333333334,34.71208333333333,0.24,7.595555555555555,0.3354166666666667,,0.28833333333333333,0.32458333333333333,,86.04916666666666,0.8179166666666666,180.65374999999997,155.54541666666668,,,26.174166666666668,0.08916666666666667
2022-07-05,9.9575,53.69416666666667,3.535833333333333,6.5025,9.900833333333333,4.676666666666667,34.92625,0.19958333333333333,4.068181818181818,0.27958333333333335,,0.24041666666666664,0.26833333333333337,,75.755,1.1966666666666665,150.39458333333332,217.60333333333335,,,28.317916666666665,0.0
2022-07-06,6.977727272727273,40.02375,3.395416666666667,6.202916666666667,9.464166666666666,4.71625,35.65,0.1775,4.526363636363636,0.24750000000000003,,0.21291666666666667,0.24041666666666664,,76.26833333333333,0.9975,190.8970833333333,187.42166666666665,,,28.134583333333335,0.036250000000000004
2022-07-07,4.446666666666666,35.715833333333336,3.40625,5.626666666666666,9.019166666666667,5.535833333333334,36.300000000000004,0.16541666666666668,3.1263636363636365,0.23124999999999998,,0.19875,0.22333333333333336,,74.11208333333333,1.0629166666666665,206.33875,224.66583333333332,,,29.124166666666667,0.0
2022-07-08,7.587727272727273,37.12708333333333,3.1845833333333338,7.004583333333334,9.84375,3.933636363636364,35.405,0.20333333333333334,12.887142857142859,0.28541666666666665,,0.2454166666666667,0.27666666666666667,,78.00833333333334,1.0491666666666666,195.05416666666667,185.9595833333333,,,27.359583333333333,0.15583333333333332
2022-07-09,12.022916666666667,45.32416666666666,3.1366666666666667,6.459166666666667,9.42375,1.3815,32.64125,0.24250000000000002,11.460833333333333,0.3383333333333333,,0.29,0.32625,,78.70541666666666,1.0358333333333334,135.38791666666665,215.0716666666667,,,27.647499999999997,0.005416666666666667
2022-07-10,,,,,,,,,,,,,,,,,,,,,,
2022-07-11,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,,,,,,,,,,,,,,,,,,,,,,
2022-07-13,,,,,,,,,,,,,,,,,,,,,,
2022-07-14,15.74923076923077,89.96785714285714,6.9678571428571425,8.192857142857143,14.384666666666666,2.282142857142857,32.575,0.252,8.91,0.35333333333333333,,0.3242857142857143,0.3657142857142857,,67.33571428571429,1.5942857142857143,149.945,219.65466666666669,,,30.22357142857143,0.0
