From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree C),RF (mm)
2022-06-06,31.126666666666665,48.141666666666666,5.43625,2.5366666666666666,5.295833333333333,5.046666666666667,9.497083333333334,0.37958333333333333,67.28583333333334,0.4245833333333333,,0.4583333333333333,0.4891666666666667,,91.41208333333333,1.1829166666666666,119.75333333333333,155.036,985.5245833333333,26.278333333333332,0.049166666666666664
2022-06-07,37.62692307692308,59.56133333333333,5.421250000000001,2.5475,5.292916666666667,4.736666666666666,9.156666666666666,0.43625,67.24458333333334,0.4875,,0.5229166666666667,0.5579166666666667,,84.92416666666666,0.8366666666666668,180.44708333333332,202.83352941176472,985.0679166666667,28.277916666666666,0.05416666666666666
2022-06-08,44.00285714285714,70.36,5.395833333333333,2.5533333333333332,5.275416666666667,6.089583333333334,9.320416666666667,0.5520833333333334,65.24625,0.6154166666666666,,0.6654166666666667,0.7095833333333333,,86.54458333333334,0.6175,213.98041666666666,160.645,984.9358333333333,28.33875,0.07708333333333332
2022-06-09,28.470000000000002,48.61388888888889,5.452083333333333,2.482083333333333,5.2820833333333335,7.105833333333333,9.422083333333333,0.4795833333333333,72.75875,0.5370833333333334,,0.5770833333333333,0.61375,,92.83375000000001,0.9408333333333333,137.19875,102.98533333333333,987.4066666666666,26.31625,0.05125
2022-06-10,35.80769230769231,58.879230769230766,5.41,2.5375,5.269583333333333,6.5575,9.613333333333333,0.5870833333333333,42.822916666666664,0.6579166666666666,,0.7087500000000001,0.75625,,87.20125,1.1925000000000001,212.66291666666666,232.03500000000003,989.19375,27.4325,0.017083333333333332
2022-06-11,31.702727272727273,57.93636363636363,5.409166666666667,2.504583333333333,5.256666666666667,5.93375,9.3575,0.39875,44.48500000000001,0.4466666666666667,,0.48,0.5108333333333334,,82.59291666666667,1.31625,214.23708333333332,253.61375,980.0291666666667,28.245416666666667,0.1175
2022-06-12,15.542499999999999,30.28916666666667,5.3975,2.5108333333333333,5.264583333333333,6.66,9.484166666666667,0.30041666666666667,35.93541666666667,0.33499999999999996,,0.36166666666666664,0.38666666666666666,,90.19625,0.86125,184.2975,146.67615384615385,988.9804166666667,25.764583333333334,0.04
2022-06-13,21.81875,29.35,5.449166666666667,2.51375,5.295833333333333,6.733333333333333,9.37125,0.28958333333333336,34.81583333333334,0.3225,,0.34791666666666665,0.3675,,91.57583333333334,0.8420833333333334,161.17833333333334,118.17153846153846,988.23875,24.667916666666667,0.04083333333333333
2022-06-14,10.843636363636364,15.006363636363636,5.412916666666667,2.5570833333333334,5.285416666666666,6.5062500000000005,9.447916666666666,0.21708333333333332,36.95458333333333,0.24291666666666667,,0.2604166666666667,0.27708333333333335,,97.24541666666666,1.7333333333333334,165.9575,82.30461538461539,987.0041666666666,23.991249999999997,0.08083333333333333
2022-06-15,19.302142857142858,25.287142857142857,5.446666666666666,2.48875,5.28125,6.620416666666666,9.299583333333333,0.24791666666666667,36.037083333333335,0.27875,,0.29916666666666664,0.31708333333333333,,96.24583333333334,0.8054166666666666,148.93791666666667,98.64583333333333,990.4758333333333,24.072083333333335,0.017083333333333332
