From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm)
2016-05-21,27.708333333333332,49.59833333333333,29.8275,45.6975,75.52666666666667,26.881249999999998,2.1570833333333335,16.121666666666666,0.02625,0.4595833333333333,,30.467916666666667,51.19958333333333,2.6629166666666664,17.354166666666668,358.8557142857143,942.94125,,0.13625,
2016-05-22,27.631666666666664,49.459583333333335,29.735416666666666,43.82375,73.55875,25.779583333333335,2.0716666666666668,16.07166666666667,0.022608695652173914,0.2970833333333333,,30.598333333333333,50.124583333333334,2.322083333333333,17.355833333333333,327.29562500000003,944.40375,,0.08583333333333333,
2016-05-23,21.30291666666667,38.13166666666667,29.360416666666666,43.423750000000005,72.78625000000001,25.544166666666666,2.09625,15.869583333333333,0.029583333333333333,0.47458333333333336,,30.647499999999997,51.638749999999995,2.388333333333333,17.302083333333332,296.9235294117647,945.2966666666666,,0.13958333333333334,
2016-05-24,18.08791666666667,32.37708333333333,31.100416666666664,43.97291666666666,75.07208333333334,25.866666666666664,2.0379166666666664,16.81083333333333,0.029047619047619048,0.42625,,30.874583333333334,52.15708333333333,2.2954166666666667,17.39,301.5141176470588,944.7045833333333,,0.12,
2016-05-25,22.430833333333336,40.149166666666666,26.67833333333333,43.137499999999996,69.81541666666666,25.375,2.0070833333333336,14.42125,0.02666666666666667,0.45249999999999996,,30.713333333333335,52.07708333333333,2.205833333333333,17.34125,280.2655555555555,944.1395833333332,,0.12916666666666668,
2016-05-26,31.716190476190473,56.77142857142857,28.284166666666664,44.20041666666666,72.42208333333333,25.99875,2.02375,15.29,0.027083333333333334,0.49124999999999996,,30.654583333333335,52.155833333333334,2.13875,17.324583333333333,305.286875,944.3941666666666,,0.13458333333333333,
2016-05-27,30.77333333333333,55.084583333333335,27.344583333333333,43.089166666666664,70.43375,25.34583333333333,2.03875,14.780833333333334,0.024583333333333332,0.3958333333333333,,30.549999999999997,53.36208333333334,2.0795833333333333,17.388749999999998,297.7477777777778,945.47625,,0.11333333333333334,
2016-05-28,27.31458333333333,48.89083333333334,27.5475,44.02,71.56625000000001,25.894166666666667,2.10125,14.890833333333333,0.025416666666666667,0.4175,,30.563333333333333,52.86958333333333,2.0749999999999997,17.38625,275.6163157894737,945.11875,,0.17166666666666666,
2016-05-29,16.718333333333334,29.92375,26.119583333333335,43.96208333333333,70.08208333333333,25.860416666666666,2.0037499999999997,14.12,0.020416666666666666,0.29375,,30.530833333333334,51.66791666666666,2.017916666666667,17.339583333333334,233.30045454545453,944.4258333333333,,0.09125,
2016-05-30,20.26608695652174,36.27608695652174,29.48625,45.281666666666666,74.76583333333333,26.635833333333334,2.004166666666667,15.937916666666666,0.028636363636363637,0.49583333333333335,,30.87125,49.90375,1.9558333333333333,17.36916666666667,272.73850000000004,943.6204166666666,,0.14833333333333334,
2016-05-31,17.378695652173914,31.11,27.528750000000002,45.015416666666674,72.54416666666667,26.480833333333333,2.063333333333333,14.880833333333333,0.04285714285714286,0.61,,31.078333333333333,49.685833333333335,1.7370833333333333,17.408333333333335,239.3861904761905,944.51625,,0.20375,
2016-06-01,31.615909090909096,56.55227272727272,29.272499999999997,44.44625,73.6975,26.145416666666666,2.08875,15.823333333333332,0.05833333333333333,0.6804166666666666,,31.29875,52.42666666666667,1.5004166666666665,17.54125,206.4633333333333,944.9041666666667,,0.21,
2016-06-02,30.178260869565218,61.160869565217396,30.730833333333333,56.77583333333333,83.29458333333334,33.39666666666667,2.0604166666666663,16.610416666666666,0.05541666666666667,0.6904166666666667,,31.5975,51.51,1.6287500000000001,17.409583333333334,262.97166666666664,944.15625,,0.21291666666666667,
2016-06-03,32.545833333333334,64.70083333333334,30.798333333333332,46.28958333333333,77.08958333333334,27.23,2.1354166666666665,16.647916666666667,0.04791666666666667,0.6775000000000001,,32.180416666666666,49.399166666666666,1.5758333333333334,17.45958333333333,306.2747058823529,943.4529166666666,,0.21583333333333332,
2016-06-04,35.69958333333333,68.57958333333333,29.419166666666666,45.93958333333333,75.35791666666667,27.022916666666664,2.160416666666667,15.90125,0.05708333333333334,0.7108333333333333,,30.769583333333333,53.44083333333333,1.46,17.38,160.56199999999998,943.5520833333334,,0.2316666666666667,
2016-06-05,30.531,55.0925,28.540000000000003,45.29583333333333,73.83624999999999,26.644583333333333,2.1875,15.426666666666668,0.043333333333333335,0.5229166666666667,,28.0325,62.4725,1.3687500000000001,18.36375,136.85,944.1925,,0.16041666666666668,
2016-06-06,39.28782608695652,70.83083333333333,28.633750000000003,46.80666666666667,75.42583333333333,27.533749999999998,2.2495833333333333,15.477916666666665,0.07958333333333334,1.12125,,26.34166666666667,68.45666666666666,1.2679166666666666,18.529166666666665,61.838095238095235,943.69625,,0.4370833333333333,
2016-06-07,37.47291666666667,74.34708333333333,30.500416666666666,47.71791666666667,78.19708333333334,28.070416666666663,2.3695833333333334,16.487083333333334,0.050416666666666665,0.8075,,29.554166666666664,51.975,1.5870833333333334,17.320833333333333,157.9575,943.1279166666667,,0.2804166666666667,
