From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3)
2017-05-05,233.06000000000003,102.91916666666667,13.9825,16.692083333333333,,30.329166666666666,14.085416666666667,1.1945833333333333,16.034583333333334,,,32.23833333333334,24.923333333333332,1.4474999999999998,277.8754166666667,291.26125,
2017-05-06,296.8363636363636,136.32434782608695,13.385217391304348,16.919565217391302,,30.47217391304348,15.045652173913044,1.7352173913043476,15.797391304347824,,,33.92,24.51782608695652,1.1821739130434783,249.83913043478262,266.96478260869566,
2017-05-07,100.6475,126.15541666666667,14.204166666666666,16.714583333333334,,30.50583333333333,19.39375,1.2145833333333333,14.723333333333334,,,35.220416666666665,23.503333333333334,1.37625,285.1925,278.30333333333334,
2017-05-08,939.7954545454545,118.12166666666667,13.207083333333335,16.485833333333336,,30.03125,27.410833333333333,1.5479166666666666,16.075416666666666,,,36.15625,21.975416666666664,1.105,240.71416666666667,281.03541666666666,
2017-05-09,,153.89090909090908,14.292727272727273,16.462727272727275,,30.016363636363636,15.261818181818182,1.9445454545454546,14.110000000000001,,,32.24272727272727,30.83090909090909,1.6454545454545455,212.90545454545455,205.66272727272727,
2017-05-10,856.6814285714287,159.666,11.784,15.73,,29.102999999999998,5.9350000000000005,1.364,25.068,,,35.539,31.634000000000004,1.765,155.507,202.221,
2017-05-11,549.8826315789474,212.66791666666666,12.18125,15.902916666666668,,29.09166666666667,4.5441666666666665,1.0999999999999999,15.655000000000001,,,31.569166666666664,37.666666666666664,1.8375000000000001,234.81375,292.1870833333333,
2017-05-12,154.6452380952381,94.265,12.725416666666666,15.99125,,29.280416666666667,10.452083333333333,1.1570833333333332,16.432916666666667,,,33.82,34.25083333333333,1.1300000000000001,282.81166666666667,295.5570833333333,
2017-05-13,53.346666666666664,126.515,12.727083333333333,15.950000000000001,,29.0475,7.43,1.4633333333333332,15.439166666666667,,,34.324999999999996,30.135833333333334,1.2758333333333334,254.9695833333333,297.36625,
2017-05-14,40.018095238095235,123.22083333333335,12.870833333333332,16.2175,,28.954166666666666,17.359583333333333,1.8991666666666667,15.091666666666667,,,34.04333333333333,30.52125,1.1204166666666666,184.58416666666668,261.56166666666667,
2017-05-15,,111.24000000000001,12.6825,15.657916666666667,,28.84375,13.577142857142857,0.7308333333333333,15.180416666666666,,,34.656666666666666,26.90041666666667,1.215,180.08791666666664,254.30791666666667,
2017-05-16,56.285,82.33416666666666,12.500833333333333,14.835833333333333,,28.300416666666667,4.800416666666667,0.8545833333333333,16.445,5.1725,,28.3575,45.227916666666665,1.5070833333333333,179.06916666666666,175.65318181818182,
2017-05-17,42.187916666666666,74.18041666666666,13.612499999999999,15.074166666666668,,28.20625,5.609166666666667,1.2341666666666666,15.42375,5.210416666666666,,29.663750000000004,40.79833333333333,1.5808333333333333,269.2895833333333,269.8379166666667,
2017-05-18,53.81363636363637,97.20363636363636,11.32181818181818,14.87590909090909,,27.89454545454545,13.201818181818181,1.0472727272727271,22.111818181818183,5.161363636363636,,32.17363636363637,34.70454545454545,1.1063636363636364,194.9731818181818,266.5527272727273,
2017-05-19,43.384166666666665,111.61708333333333,12.0725,15.08625,,28.038750000000004,6.692916666666666,1.2658333333333334,15.961666666666666,5.20875,,33.505833333333335,34.514583333333334,1.5287499999999998,169.38541666666666,297.97875,
