From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),AT (degree)
2022-06-13,66.7,193.63071428571428,0.2978571428571429,3.2399999999999998,1.9729166666666667,3.8728571428571428,0.28458333333333335,85.80714285714285,47.31071428571429,1.0307142857142857,192.065,120.665,800.2807142857143,30.84642857142857
2022-06-14,,,,,0.0,,0.0,,,,,0.0,,
2022-06-15,45.7975,207.568125,0.30125,3.53875,3.614705882352941,3.324375,0.0011764705882352942,111.39937499999999,45.0625,3.80875,200.00875,225.84411764705882,804.406875,32.968125
2022-06-16,24.083333333333332,55.29624999999999,0.30583333333333335,4.14875,4.455,3.4579166666666663,0.0008333333333333334,51.5425,65.39708333333333,1.6216666666666668,203.75708333333333,123.56583333333333,800.3883333333333,27.386666666666667
2022-06-17,26.5625,53.629583333333336,0.30041666666666667,3.7295833333333337,4.0304166666666665,3.497916666666667,0.008749999999999999,45.22958333333333,72.8175,2.1824999999999997,195.97375,112.4875,808.5841666666666,25.765833333333333
2022-06-18,28.664583333333336,54.12916666666666,0.405,4.276666666666666,4.682083333333334,4.200833333333333,0.13875,23.27625,85.22500000000001,1.5274999999999999,184.43583333333333,37.08708333333333,800.3425000000001,22.806250000000002
2022-06-19,16.105416666666667,45.31875,0.35791666666666666,3.4008333333333334,3.7587499999999996,3.512083333333333,0.06833333333333334,34.865,68.81833333333333,1.2750000000000001,211.14374999999998,126.82625,800.3616666666667,24.884583333333335
2022-06-20,19.78708333333333,47.36875,0.29958333333333337,2.909166666666667,3.2083333333333335,3.5941666666666667,0.11333333333333333,44.94166666666666,67.31125,1.6395833333333334,200.72375,184.70666666666668,800.3320833333333,25.348333333333333
2022-06-21,14.412173913043478,40.29695652173913,0.31166666666666665,2.527083333333333,2.839166666666667,3.4920833333333334,0.18208333333333335,29.173333333333332,69.85458333333334,1.6408333333333334,163.57874999999999,133.90583333333333,800.7316666666667,24.344583333333333
2022-06-22,24.783529411764704,67.07157894736842,0.3059090909090909,2.7871428571428574,2.57125,4.003636363636364,0.33375,32.385714285714286,63.85545454545454,1.494090909090909,195.51909090909092,109.71249999999999,800.2459090909091,26.765454545454546
2022-06-23,43.73416666666666,121.51916666666666,0.31375000000000003,2.5791666666666666,2.891666666666667,3.7883333333333336,0.35250000000000004,40.48916666666667,57.03041666666667,1.64125,209.23708333333332,192.68583333333333,800.2845833333334,28.814999999999998
2022-06-24,40.33416666666667,128.76041666666666,0.29083333333333333,2.39875,2.6904166666666662,3.2779166666666666,0.4166666666666667,77.81166666666667,50.850833333333334,1.5641666666666667,193.38708333333332,191.63166666666666,800.24125,29.207916666666666
2022-06-25,43.9275,119.84625,0.28125,2.2704166666666667,2.5504166666666666,3.5175,0.4379166666666667,86.92666666666666,50.38458333333333,1.3399999999999999,177.12291666666667,160.02875,800.2400000000001,29.8075
2022-06-26,35.69083333333333,83.57333333333334,0.28875,1.9758333333333333,2.2645833333333334,3.6604166666666664,0.3416666666666666,40.00416666666667,69.22625000000001,1.1329166666666668,178.20541666666668,125.26583333333333,800.2400000000001,28.901666666666667
2022-06-27,25.369583333333335,58.69625,0.3025,2.495833333333333,2.8029166666666665,4.003333333333333,0.35833333333333334,21.985833333333332,74.5175,1.2,185.82291666666666,120.31333333333333,800.27,29.05875
2022-06-28,28.025833333333335,59.845,0.30083333333333334,3.2566666666666664,3.5583333333333336,3.983333333333333,0.2966666666666667,32.00125,76.17125,1.45125,179.17791666666668,106.62374999999999,800.3608333333333,29.320416666666663
2022-06-29,29.50238095238095,52.47863636363636,0.28125,2.4120833333333334,2.6929166666666666,3.2704166666666663,0.3804166666666667,40.358333333333334,82.57083333333334,1.7066666666666668,141.52916666666667,90.42083333333333,804.5229166666667,26.842083333333335
2022-06-30,12.779565217391305,26.874782608695654,0.2758333333333333,2.26125,2.53625,2.8804166666666666,0.32166666666666666,29.96166666666667,86.99083333333334,1.4779166666666665,167.58083333333335,41.901666666666664,800.2420833333334,24.757499999999997
2022-07-01,12.95125,37.09708333333334,0.2791666666666667,2.5066666666666664,2.7854166666666664,2.891666666666667,0.36541666666666667,14.95375,83.97166666666666,1.22625,217.06083333333333,100.10666666666667,800.2400000000001,26.054166666666664
2022-07-02,10.906,28.715625,0.2795238095238095,2.32047619047619,2.1245833333333333,3.066666666666667,0.35833333333333334,18.454761904761906,80.87857142857143,1.6080952380952382,156.88857142857142,134.73833333333332,801.214761904762,27.47095238095238
2022-07-03,10.33904761904762,22.001304347826085,0.27791666666666665,1.8979166666666665,2.17625,2.8008333333333333,0.33041666666666664,18.57125,82.39375,1.4916666666666665,182.54958333333332,167.96958333333333,802.9504166666667,27.182083333333335
2022-07-04,17.114583333333332,37.58083333333333,0.27875,1.8954166666666667,2.1733333333333333,3.0050000000000003,0.3729166666666666,13.524583333333334,81.44833333333334,1.0858333333333332,161.08208333333334,125.97208333333333,800.2408333333333,27.74
2022-07-05,22.525833333333335,45.55416666666667,0.27625000000000005,1.84875,2.1225,3.092916666666667,0.40208333333333335,20.56125,80.18041666666666,1.54625,170.28541666666666,143.64166666666668,801.6225,28.799166666666665
2022-07-06,17.103846153846153,38.598,0.27866666666666673,2.2486666666666664,2.5260000000000002,2.874,0.34199999999999997,13.594666666666667,73.25066666666666,1.4426666666666668,204.48,190.76933333333332,800.24,29.970666666666666
2022-07-07,,,,,,,,,,,,,,
2022-07-08,12.335384615384614,38.56875,0.27687500000000004,2.506875,1.8554166666666667,3.0225,0.22208333333333333,26.583125,80.369375,1.9275,165.413125,91.505,809.394375,28.575
2022-07-09,10.799523809523809,22.40909090909091,0.2733333333333334,2.2075,2.48,3.02125,0.2725,29.860416666666666,90.82041666666667,1.2691666666666668,170.76,32.206250000000004,801.5166666666668,24.799583333333334
2022-07-10,9.543333333333333,20.482083333333332,0.27375,1.9929166666666667,2.2670833333333333,2.665,0.27166666666666667,26.0625,81.41416666666667,1.2429166666666667,174.58541666666667,117.27291666666667,805.5191666666666,26.470416666666665
2022-07-11,9.118461538461538,33.025333333333336,0.27266666666666667,2.2013333333333334,1.4116666666666668,2.740666666666667,0.23708333333333334,15.245333333333333,75.88733333333333,1.206,178.682,130.98499999999999,800.2180000000001,27.968
2022-07-12,13.577272727272726,30.178181818181816,0.2730769230769231,1.8284615384615384,1.0479166666666668,2.7038461538461536,0.17375,19.73923076923077,78.64769230769231,1.1653846153846155,159.5176923076923,44.85833333333333,801.0100000000001,28.177692307692308
2022-07-13,14.141363636363637,33.93954545454545,0.27416666666666667,2.374166666666667,2.4891666666666663,2.8891666666666667,0.42874999999999996,14.386249999999999,82.28291666666667,1.4166666666666667,171.62541666666667,112.7475,800.2320833333333,26.97458333333333
2022-07-14,8.792916666666667,31.859166666666667,0.2754166666666667,2.3966666666666665,2.670833333333333,2.7745833333333336,0.44458333333333333,10.06875,78.34708333333333,1.1570833333333332,193.28083333333333,115.61833333333334,800.2283333333334,26.885416666666668
2022-07-15,12.515,20.47,0.27,1.72,1.995,2.635,0.41500000000000004,6.949999999999999,86.195,0.31,151.245,2.875,800.22,24.125
2022-07-16,5.565625,26.785625,0.28,1.684375,1.96375,2.656875,0.4,22.885625,61.304375,2.035,207.73125,276.918125,800.2112500000001,31.051875
2022-07-17,11.327083333333334,30.992499999999996,0.27666666666666667,1.8633333333333333,2.1408333333333336,2.7841666666666662,0.46458333333333335,16.752083333333335,76.42125,1.7029166666666666,204.21583333333334,168.0025,800.2283333333334,28.392916666666668
2022-07-18,14.853333333333333,38.04826086956522,0.28208333333333335,2.3670833333333334,2.549166666666667,3.0516666666666663,0.5970833333333333,13.842916666666667,75.75625000000001,1.0654166666666667,184.58791666666664,118.15833333333335,800.2366666666667,28.89625
2022-07-19,18.503333333333334,33.650416666666665,0.275,1.8383333333333332,2.1108333333333333,2.8829166666666666,0.5379166666666667,21.6375,83.08208333333333,1.1745833333333333,148.94916666666666,61.23041666666666,800.2391666666667,27.645416666666666
2022-07-20,10.127391304347826,20.414347826086956,0.2765217391304348,1.7817391304347825,2.0586956521739133,2.6291304347826085,0.528695652173913,28.27130434782609,87.84260869565217,1.7008695652173913,149.76043478260868,64.35,804.705652173913,25.11826086956522
2022-07-21,12.29375,26.75125,0.273125,1.66125,1.9337499999999999,2.679375,0.558125,23.669375,77.17875000000001,1.5518750000000001,174.475625,152.439375,800.224375,28.096249999999998
2022-07-22,9.209166666666667,23.51375,0.2758333333333333,1.6179166666666667,1.8941666666666668,2.717083333333333,0.57125,20.532500000000002,87.17458333333333,1.4675,178.30583333333334,104.12041666666666,800.3291666666668,25.79041666666667
2022-07-23,11.454583333333334,28.765833333333333,0.27708333333333335,1.9433333333333334,2.2204166666666665,2.6570833333333335,0.6525,25.55333333333333,82.75,1.32875,184.1029166666667,150.44208333333333,800.1999999999999,27.04375
2022-07-24,7.935652173913042,19.982499999999998,0.2758333333333333,1.6104166666666666,1.88875,2.5708333333333333,0.6170833333333333,28.718333333333334,79.465,1.1241666666666668,177.58375,152.46458333333334,802.0616666666666,27.159166666666668
2022-07-25,6.509565217391304,16.550833333333333,0.2754166666666667,1.5675,1.8420833333333333,2.720833333333333,0.6520833333333333,27.28916666666667,82.28708333333333,1.2241666666666666,175.83333333333334,126.86041666666667,800.285,26.63875
2022-07-26,7.935217391304348,15.763333333333334,0.2733333333333334,1.4649999999999999,1.7379166666666668,2.5425,0.6283333333333333,20.19391304347826,83.48125,1.7783333333333333,204.06833333333336,142.21625,800.5458333333332,26.31125
2022-07-27,10.499166666666667,26.706666666666667,0.275,1.7375,2.0124999999999997,2.6916666666666664,0.5833333333333334,16.93916666666667,85.92,1.0920833333333333,161.48166666666665,86.79666666666667,800.3679166666666,25.061818181818182
2022-07-28,14.289583333333333,32.18541666666667,0.2754166666666667,1.6566666666666665,1.9295833333333334,2.64875,0.26958333333333334,26.504166666666666,82.41833333333334,1.51875,147.775,121.29375,800.17125,26.842916666666667
2022-07-29,8.834999999999999,19.586,0.27304347826086955,1.3095652173913044,1.5834782608695652,2.533913043478261,0.22956521739130437,36.6504347826087,86.23217391304347,1.798695652173913,147.28217391304347,91.71565217391304,800.3239130434783,25.96391304347826
2022-07-30,,,0.31,1.5,0.075,2.6,0.01125,,92.91,0.65,43.88,7.0625,800.16,25.04
2022-07-31,,,,,0.0,,0.0,,,,,0.0,,
2022-08-01,,,,,0.0,,0.0,,,,,0.0,,
2022-08-02,,,,,0.0,,0.0,,,,,0.0,,
2022-08-03,,,,,,,,,,,,,,
2022-08-04,6.150833333333334,27.189999999999998,0.28583333333333333,2.7175,2.7841666666666662,3.1758333333333333,0.24833333333333332,,85.39666666666666,1.0866666666666667,136.29833333333332,61.03583333333333,800.1633333333333,26.025000000000002
2022-08-05,12.155416666666667,33.77708333333333,0.27708333333333335,2.4179166666666667,2.6945833333333336,3.4654166666666666,0.425,,86.00625000000001,0.9033333333333333,198.61166666666668,86.10666666666667,800.1691666666666,25.9025
2022-08-06,15.844583333333333,36.913333333333334,0.27458333333333335,2.1145833333333335,2.3291666666666666,3.23625,0.3833333333333333,,79.24125,1.1416666666666666,162.51041666666666,141.94166666666666,800.1958333333333,27.33375
2022-08-07,10.992916666666666,20.99833333333333,0.2733333333333334,1.62,1.8904166666666666,2.8937500000000003,0.33125,,86.255,1.3695833333333332,176.02083333333334,96.02375,800.9416666666666,25.802916666666665
2022-08-08,10.129583333333334,32.352916666666665,0.2725,2.2279166666666668,2.5004166666666667,3.0500000000000003,0.4270833333333333,,77.57916666666667,0.8958333333333334,198.99791666666667,149.88541666666666,800.17,28.577083333333334
2022-08-09,11.748947368421051,30.82625,0.2708333333333333,1.7175,1.8970833333333335,3.1495833333333336,0.42874999999999996,,77.24458333333332,1.0754166666666667,194.32125,165.82541666666665,800.1845833333333,29.011666666666667
2022-08-10,12.979166666666666,29.24083333333333,0.275,1.7670833333333331,2.0404166666666668,3.1174999999999997,0.33791666666666664,,81.48625,1.2270833333333333,173.18458333333334,118.4575,802.7479166666667,27.847083333333334
2022-08-11,14.508000000000001,19.59888888888889,0.2817647058823529,1.996,1.8583333333333334,4.157058823529412,0.405,,80.54352941176471,1.1847058823529413,196.28058823529412,110.96611111111112,800.1811764705882,27.021176470588237
2022-08-12,9.26125,23.32041666666667,0.27458333333333335,1.5866666666666667,1.8595833333333334,3.33,0.33208333333333334,21.68,77.43291666666667,0.86875,189.81958333333333,145.34791666666666,800.1687499999999,27.502499999999998
