From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),AT (degree C),RF (mm)
2020-06-29,38.67217391304348,87.53826086956522,1.2705263157894737,8.59421052631579,5.513684210526316,58.22578947368421,15.632727272727273,0.295,35.469166666666666,3.7762499999999997,0.3066666666666667,1.7154166666666668,0.39625,69.46333333333332,1.1895833333333334,183.74666666666667,235.78083333333333,,,0.7799999999999999,30.520833333333332,0.005
2020-06-30,20.965,46.42791666666667,0.9754166666666667,7.4558333333333335,4.65625,46.02375,11.840833333333334,0.3025,36.08541666666667,2.4677272727272728,8.151818181818182,4.777272727272727,3.102727272727273,68.70791666666666,1.2916666666666667,163.48583333333332,296.81125000000003,,,1.4077272727272727,30.7,0.0
2020-07-01,25.06375,64.24875,0.6254166666666666,6.495833333333334,3.859166666666667,34.99875,11.96625,0.3,42.574999999999996,2.745416666666667,0.24333333333333332,1.4495833333333332,0.33958333333333335,68.72708333333334,0.8783333333333334,196.20791666666665,253.05458333333334,,,0.5504166666666667,31.569999999999997,0.0
2020-07-02,34.2675,71.75208333333333,2.9966666666666666,11.220416666666667,8.270416666666668,43.28375,6.968333333333334,0.3441666666666667,33.947916666666664,3.7483333333333335,0.3741666666666667,1.3983333333333334,0.3720833333333333,78.57083333333334,0.6629166666666667,157.98541666666668,247.82500000000002,,,0.61375,30.609583333333333,0.04666666666666667
2020-07-03,36.132083333333334,80.08791666666666,1.1199999999999999,8.456666666666667,5.320833333333334,49.25958333333333,12.098333333333334,0.49833333333333335,49.41791666666666,3.6420833333333333,0.32375,1.2633333333333334,0.3433333333333333,70.52416666666666,0.8854166666666666,154.87458333333333,250.13916666666668,,,0.5516666666666666,32.60541666666666,0.0
2020-07-04,19.486250000000002,44.94291666666666,1.169090909090909,7.484090909090909,4.832272727272727,45.52909090909091,11.334090909090909,0.4995833333333333,30.543333333333333,3.0386363636363636,0.2736363636363637,1.654090909090909,0.4636363636363636,79.62541666666667,1.3812499999999999,150.98125000000002,282.1375,,,0.7872727272727272,29.842083333333335,0.007083333333333334
2020-07-05,10.919444444444444,24.049444444444443,2.185,7.104090909090909,4.860416666666667,33.86863636363636,16.337727272727275,0.5004166666666666,25.844583333333333,2.440909090909091,0.31772727272727275,2.4633333333333334,0.5766666666666667,80.09916666666668,0.9104166666666668,184.32791666666665,301.5679166666667,,,1.018181818181818,27.079166666666666,0.06166666666666667
2020-07-06,16.784166666666668,45.0975,3.1725,7.070416666666667,5.36625,29.217083333333335,11.488333333333335,0.49499999999999994,26.344166666666666,2.9791666666666665,0.32625,2.1983333333333333,0.49583333333333335,73.05666666666666,0.56875,167.20125,257.1433333333334,,,0.9325,29.836250000000003,0.0
2020-07-07,14.538260869565217,36.74478260869565,3.686363636363636,6.64375,5.421764705882353,38.97411764705882,8.445652173913043,0.5070833333333333,19.07875,2.827916666666667,0.26416666666666666,1.76875,0.4270833333333333,77.11625,1.1133333333333333,147.6275,236.91208333333336,,,0.7966666666666667,29.171666666666667,0.37875
2020-07-08,6.8187500000000005,15.893333333333333,5.939130434782609,9.823478260869566,9.84,35.92739130434783,7.536521739130435,0.39875,15.140833333333333,2.3813636363636363,0.25045454545454543,2.333809523809524,0.44333333333333336,95.86083333333333,0.5445833333333333,141.98916666666665,109.00916666666666,,,0.87,26.54041666666667,0.13249999999999998
