From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm),AT (degree C)
2020-06-02,8.40625,25.635416666666668,2.12,4.713333333333334,3.7762499999999997,5.07,3.2100000000000004,0.11916666666666666,39.72375,0.27999999999999997,0.7808333333333333,28.6825,69.67708333333333,0.5941666666666666,131.65625,62.510416666666664,,0.025833333333333333,0.08291666666666667,0.005,24.07166666666667
2020-06-03,3.25,15.07181818181818,2.5185,4.778947368421052,4.401999999999999,18.842727272727274,4.891363636363637,0.23500000000000001,34.57681818181818,0.18,0.6168181818181818,29.029090909090908,60.73500000000001,0.5854545454545454,149.27272727272728,100.86,,0.02727272727272727,0.06363636363636364,0.0,25.06681818181818
2020-06-04,7.642857142857143,21.121666666666666,2.214166666666667,5.25875,4.593333333333333,5.453333333333333,6.095833333333334,,36.28208333333333,0.1875,5.7683333333333335,28.97,59.701249999999995,0.7325,122.21875,78.67,,0.07125,0.47000000000000003,0.0,25.365
2020-06-05,13.76375,30.82625,2.3529166666666668,5.523333333333333,4.8445833333333335,4.884166666666666,5.071666666666666,,41.099583333333335,0.23833333333333337,0.8204166666666667,29.365,63.757083333333334,0.5291666666666667,146.21166666666667,65.28833333333334,,0.03416666666666667,0.07583333333333334,0.0,24.995416666666667
2020-06-06,18.385416666666668,44.208333333333336,2.5641666666666665,5.922916666666667,5.199166666666667,4.350833333333333,9.437083333333334,,39.373333333333335,0.24250000000000002,0.9375,29.71375,61.285,0.88375,182.78833333333333,104.33666666666666,,0.06583333333333334,0.08916666666666667,0.0,25.212083333333336
2020-06-07,20.152916666666666,48.229166666666664,2.4929166666666664,4.332916666666667,4.3275,3.2862500000000003,5.98125,0.35428571428571426,30.910833333333333,0.05625,0.4679166666666667,29.20125,59.572916666666664,1.0058333333333334,192.44791666666666,74.49666666666667,,0.08750000000000001,0.06791666666666667,0.0,24.881666666666664
2020-06-08,17.729166666666668,50.739583333333336,2.7504166666666667,5.036666666666666,4.916250000000001,3.9625,3.8575,0.3425,29.725416666666664,0.08458333333333334,5.062083333333334,28.9725,57.677083333333336,1.0033333333333334,232.63541666666666,83.66666666666667,,0.08416666666666667,0.42041666666666666,0.0,25.09166666666667
2020-06-09,19.666666666666668,53.510416666666664,3.577083333333333,7.534583333333334,6.914583333333333,5.077916666666667,6.5808333333333335,0.38625,37.031666666666666,0.25583333333333336,3.7379166666666666,29.394583333333333,59.46875,1.06125,211.16666666666666,36.78125,,0.08041666666666666,0.38958333333333334,0.0,24.786666666666665
2020-06-10,17.302083333333332,48.15625,3.4025,7.402916666666667,6.71,4.81625,4.189166666666667,0.4254166666666667,30.142083333333332,0.1708333333333333,0.71375,29.74291666666667,64.83333333333333,0.945,194.07291666666666,11.864583333333334,,0.07083333333333333,0.08416666666666667,0.0,23.92125
2020-06-11,11.375,22.392857142857142,2.404,4.187142857142857,3.7118181818181815,4.5652380952380955,4.2155000000000005,0.16,29.044545454545457,0.015714285714285715,0.21142857142857144,29.834545454545456,81.54545454545455,1.455909090909091,217.7540909090909,4.6059090909090905,,0.12227272727272727,0.06761904761904762,0.08136363636363636,20.955
