From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-08-23,1.1557142857142857,16.55666666666667,2.2220833333333334,0.47782608695652173,3.092083333333333,12.3425,16.04125,0.24666666666666667,4.287083333333333,0.049166666666666664,,0.0625,0.07375,86.49458333333332,2.42625,118.67833333333333,332.14416666666665,884.2912500000001,,,
2022-08-24,1.6,11.581304347826087,2.37625,0.7885714285714285,3.4766666666666666,12.707083333333335,16.195833333333333,0.26125000000000004,3.6633333333333336,0.0525,,0.06583333333333334,0.07833333333333334,86.22791666666666,1.8479166666666667,155.14416666666668,313.95,886.4970833333333,,,
2022-08-25,2.4038461538461537,17.75125,2.5141666666666667,0.8113636363636364,3.7425,12.439166666666667,15.904166666666667,0.3425,4.235,0.06958333333333333,,0.08583333333333333,0.1025,86.54416666666667,0.9483333333333334,168.52875,203.92076923076922,885.21125,,,
2022-08-26,2.4744444444444444,23.734583333333333,2.3654166666666665,0.68,3.529166666666667,13.401666666666666,15.935833333333333,0.38958333333333334,5.129166666666666,0.07833333333333334,,0.09708333333333334,0.1175,87.96541666666667,0.80625,176.7854166666667,204.1369230769231,883.6429166666667,,,
2022-08-27,2.990666666666667,20.324166666666667,1.8991666666666667,0.3116666666666667,2.6029166666666668,8.47125,15.244583333333333,0.25958333333333333,6.759583333333333,0.05125,,0.06458333333333334,0.07833333333333332,96.57458333333334,1.5483333333333331,178.57083333333333,50.15615384615384,884.3779166666667,,,
2022-08-28,2.08,21.122916666666665,2.4879166666666666,0.12818181818181817,3.0362500000000003,7.699583333333333,15.229166666666666,0.19791666666666666,7.2875000000000005,0.04083333333333333,,0.050833333333333335,0.05958333333333333,88.12208333333332,1.2779166666666668,151.32208333333332,245.78384615384616,886.5316666666666,,,
2022-08-29,3.304,26.52333333333333,3.188333333333333,0.7866666666666666,4.714583333333334,9.550833333333333,15.485,0.42083333333333334,7.304583333333333,0.08416666666666667,,0.10583333333333333,0.12625,91.10458333333334,0.8520833333333333,140.2775,178.5876923076923,888.5291666666667,,,
2022-08-30,3.0576190476190472,32.651666666666664,2.66125,0.81,4.058333333333334,10.487499999999999,15.719999999999999,0.4275,7.7175,0.085,,0.1075,0.12833333333333333,89.64916666666666,0.88125,147.19208333333333,204.92000000000002,888.6041666666666,,,
2022-08-31,2.6753333333333336,27.93625,2.4266666666666667,0.5733333333333334,3.5775,10.894583333333332,15.617916666666666,0.4141666666666666,8.310833333333333,0.08333333333333333,,0.10416666666666667,0.12458333333333334,90.91125,0.8270833333333334,129.28875,171.62538461538463,887.3262500000001,,,
2022-09-01,2.5300000000000002,17.71875,2.4904166666666665,0.735,3.748333333333333,9.503333333333334,15.622916666666667,0.3329166666666667,9.121666666666666,0.06625,,0.08416666666666667,0.09916666666666667,90.07041666666667,1.0825,186.24916666666664,222.05166666666665,888.0179166666667,,,
