From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-04-07,19.363636363636363,45.58272727272727,3.5081818181818183,9.736363636363636,8.033636363636363,9.872727272727273,14.247272727272728,1.177,8.97090909090909,1.1763636363636363,5.390909090909091,,,,29.46090909090909,80.0909090909091,1.1036363636363637,247.8181818181818,35.27272727272727,757.9090909090909,,30.027272727272727,0.0
2022-04-08,12.390625,36.890625,2.27875,4.256875,4.12875,8.270625,12.892666666666665,0.324375,13.990625,0.463125,5.85125,,,,28.941875,71.34375,2.43375,149.90625,150.03125,756.40625,,31.93,0.0
2022-04-09,10.109375,24.31625,3.825833333333333,8.1875,7.4725,6.464166666666666,13.93695652173913,0.5154166666666666,15.207083333333335,0.65625,5.63625,,,,29.020416666666666,74.48958333333333,2.1316666666666664,137.65625,105.45833333333333,755.21875,,31.32041666666667,0.0
2022-04-10,7.838235294117647,16.777916666666666,4.162916666666667,10.035833333333333,8.727083333333333,5.157916666666666,11.636363636363637,0.6075,13.333333333333334,0.5916666666666667,7.959583333333334,,,,29.025833333333335,79.21875,1.8183333333333334,99.04166666666667,88.88541666666667,754.6770833333334,,30.2925,0.16666666666666666
2022-04-11,3.5,13.041666666666666,3.6494444444444443,9.422222222222222,7.953333333333333,5.234444444444445,9.286666666666667,0.7925,10.132916666666667,0.69625,7.152083333333334,,,,29.131666666666664,82.15625,1.81125,107.39583333333333,82.0,753.9791666666666,,30.275000000000002,0.0625
2022-04-12,2.96875,15.90625,3.0391666666666666,6.369583333333334,5.8500000000000005,6.774583333333333,8.789583333333333,1.1993333333333331,11.025,0.4683333333333333,5.734999999999999,,,,29.205833333333334,78.65625,1.7454166666666666,137.8125,80.63541666666667,753.3854166666666,,30.9075,0.0
2022-04-13,17.119285714285716,27.96590909090909,3.8754166666666667,8.701666666666666,7.7775,6.155,13.076666666666666,0.8155555555555556,8.015,0.6958333333333333,8.302916666666667,,,,29.245,82.33333333333333,1.1341666666666665,183.76041666666666,64.4375,753.1770833333334,,30.282916666666665,0.0
2022-04-14,7.421111111111112,23.50375,1.7395833333333333,5.66375,4.426666666666667,8.19125,14.169583333333334,0.39999999999999997,17.886666666666667,0.38125000000000003,4.9825,,,,29.33875,77.95833333333333,2.1254166666666667,238.5,101.44791666666667,753.4895833333334,,30.947916666666668,0.0
2022-04-15,7.75,26.957916666666666,1.7295833333333333,5.8,4.490833333333334,7.929166666666667,21.919166666666666,0.6525,18.25086956521739,0.33625,4.502083333333333,,,,29.38291666666667,79.67708333333333,2.1458333333333335,229.83333333333334,108.33333333333333,752.90625,,31.11,0.0
2022-04-16,5.6335,25.187083333333334,1.4766666666666666,3.3016666666666663,2.9570833333333333,7.9745833333333325,13.595833333333333,1.1104347826086955,19.71375,0.27208333333333334,4.380416666666666,,,,29.377916666666668,77.33333333333333,2.841666666666667,234.23958333333334,96.22916666666667,751.5729166666666,,31.77333333333333,0.0
2022-04-17,16.71181818181818,32.3575,1.4675,5.890416666666667,4.329166666666667,9.2825,14.23375,0.682,39.40291666666666,0.43583333333333335,3.9583333333333335,,,,29.278750000000002,73.4375,2.185,242.6875,92.98958333333333,752.5416666666666,,30.829583333333332,0.0
2022-04-18,21.65625,42.85458333333333,1.3166666666666667,6.089166666666666,4.310833333333334,9.920416666666666,12.515238095238095,1.5561538461538462,50.80291666666667,0.5383333333333333,4.059583333333333,,,,29.262083333333333,72.73958333333333,1.9783333333333333,198.3125,101.625,754.375,,30.588333333333335,0.0
2022-04-19,8.979166666666666,27.322916666666668,1.265,4.28125,3.3004166666666666,7.385416666666667,11.621363636363636,1.8600000000000003,23.36,0.3804166666666667,4.163333333333333,,,,29.281666666666666,78.40625,1.9970833333333333,213.05208333333334,97.58333333333333,755.4479166666666,,31.600416666666664,0.0
